,Algorithm,Drug,AUC,AUC_PR,threshold,spec,sens
20,CNN,AMIKACIN,0.9172778080697929,0.8443087489173714,0.54,[0.92938931],[0.76428571]
21,CNN,MOXIFLOXACIN,0.886806354226567,0.7503805005338468,0.48,[0.95212766],[0.67567568]
22,CNN,OFLOXACIN,0.9181547817505301,0.8715831758619588,0.59,0.9755011135857461,0.7784431137724551
23,CNN,KANAMYCIN,0.9314931331636542,0.8739200971629559,0.44,[0.95537525],[0.76433121]
24,CNN,ETHIONAMIDE,0.8025359273888562,0.660229844302986,0.45,[0.81595092],[0.65068493]
25,CNN,CIPROFLOXACIN,0.9487510766580534,0.8922406475541638,0.97,[0.93023256],[0.96296296]
26,CNN,RIFAMPICIN,0.975437893760416,0.9571567997029284,0.67,0.9711388455538221,0.918918918918919
27,CNN,ISONIAZID,0.9700359366822034,0.9634744745615184,0.73,0.9724375538329026,0.9234449760765551
28,CNN,PYRAZINAMIDE,0.9258721257572686,0.7315410915838514,0.66,[0.83471837],[0.91637631]
29,CNN,ETHAMBUTOL,0.935400108909535,0.8060668732298543,0.74,[0.84877276],[0.92405063]
30,CNN,STREPTOMYCIN,0.919153063668874,0.8598204605446831,0.61,[0.8452381],[0.88735178]
31,CNN,LEVOFLOXACIN,0.9612244897959183,0.9389820705610179,0.22,0.9714285714285714,0.8571428571428571
32,CNN,CAPREOMYCIN,0.9021624802784806,0.7638238749953362,0.6,[0.85191956],[0.82191781]
33,CNN,AMIKACIN,0.9039317599661785,0.8388150024055321,0.4,[0.93713163],[0.76582278]
34,CNN,MOXIFLOXACIN,0.8594704353476283,0.6633625844849469,0.44,0.9289473684210526,0.6790123456790124
35,CNN,OFLOXACIN,0.8870713985468084,0.8547620736346436,0.23,0.9578454332552693,0.7487179487179487
36,CNN,KANAMYCIN,0.9276517116182573,0.8444194532240052,0.45,[0.94605809],[0.80625]
37,CNN,ETHIONAMIDE,0.8245256696428572,0.7113498232423869,0.5700000000000001,[0.778125],[0.74404762]
38,CNN,CIPROFLOXACIN,1.0,1.0000000000000002,0.35000000000000003,1.0,1.0
39,CNN,RIFAMPICIN,0.9735239960645913,0.9541776059698782,0.46,0.9698142414860681,0.9358600583090378
40,CNN,ISONIAZID,0.9676968329562678,0.9636949452896892,0.5,0.9635732870771899,0.9181494661921709
41,CNN,PYRAZINAMIDE,0.9215267981959528,0.7614366974778823,0.46,[0.87181904],[0.86912752]
42,CNN,ETHAMBUTOL,0.9266871958310003,0.7803431030798578,0.6,[0.84735202],[0.88940092]
43,CNN,STREPTOMYCIN,0.9288547965263722,0.8900133895664629,0.54,[0.83840749],[0.89077213]
44,CNN,LEVOFLOXACIN,0.9655172413793103,0.9545454545454545,0.84,1.0,0.9090909090909091
45,CNN,CAPREOMYCIN,0.8617389993972272,0.7228131046135107,0.45,[0.91500904],[0.68589744]
46,CNN,AMIKACIN,0.9071323503031608,0.8450149036638178,0.51,[0.9005848],[0.79141104]
47,CNN,MOXIFLOXACIN,0.8558070866141732,0.6514812353567607,0.75,[0.73228346],[0.84090909]
48,CNN,OFLOXACIN,0.8981709399696138,0.8491365130034902,0.51,0.9698375870069605,0.7563451776649747
49,CNN,KANAMYCIN,0.9417114405111204,0.9005361270412411,0.35000000000000003,[0.96523517],[0.80745342]
50,CNN,ETHIONAMIDE,0.8350540717085208,0.7022011245847894,0.48,[0.71686747],[0.81325301]
51,CNN,CIPROFLOXACIN,0.9942857142857143,0.9863348416289593,0.91,0.974025974025974,0.96
52,CNN,RIFAMPICIN,0.9748275503103819,0.9583970803674019,0.7000000000000001,[0.97349398],[0.93178718]
53,CNN,ISONIAZID,0.9660151895206244,0.9589564601806945,0.81,0.9565217391304348,0.919683257918552
54,CNN,PYRAZINAMIDE,0.917273205247588,0.7744181270597252,0.48,[0.83205374],[0.89438944]
55,CNN,ETHAMBUTOL,0.9172939962726305,0.7805269791565332,0.5700000000000001,[0.8370607],[0.8875]
56,CNN,STREPTOMYCIN,0.9176293890638041,0.8801898801368768,0.48,[0.83971292],[0.88255613]
57,CNN,LEVOFLOXACIN,0.9282051282051282,0.7969331892408815,0.23,0.9333333333333333,0.9230769230769231
58,CNN,CAPREOMYCIN,0.8971635225829857,0.7415770288336833,0.53,[0.85738255],[0.78378378]
59,CNN,AMIKACIN,0.9026240667545016,0.8388284151893399,0.44,[0.98369565],[0.68484848]
60,CNN,MOXIFLOXACIN,0.8967684857515366,0.7184570187939364,0.17,[0.93220339],[0.66666667]
61,CNN,OFLOXACIN,0.9056134100666849,0.8368032528782956,0.28,0.9532520325203252,0.7696629213483146
62,CNN,KANAMYCIN,0.9455623306233063,0.9024090507681919,0.39,[0.96481481],[0.82926829]
63,CNN,ETHIONAMIDE,0.8033769672559111,0.6737125141661946,0.36,[0.77675841],[0.73170732]
64,CNN,CIPROFLOXACIN,0.9993894993894994,0.9978354978354982,0.35000000000000003,0.9871794871794872,1.0
