,Algorithm,Drug,AUC,AUC_PR,threshold,spec,sens
22,CNN,OFLOXACIN,0.9218156115386155,0.8793170756849756,0.35000000000000003,[0.96436526],[0.78443114]
23,CNN,KANAMYCIN,0.9315577318122504,0.866541857404736,0.44,0.9533468559837728,0.7707006369426752
24,CNN,ETHIONAMIDE,0.8109610051264813,0.679143635983263,0.34,[0.86503067],[0.61643836]
25,CNN,CIPROFLOXACIN,0.9862187769164514,0.9448442212583759,0.85,[0.93023256],[1.]
26,CNN,RIFAMPICIN,0.9758334572358711,0.958516818411264,0.54,0.968798751950078,0.930298719772404
27,CNN,ISONIAZID,0.968815552505883,0.9623558913263864,0.66,0.9681309216192937,0.9246411483253588
28,CNN,PYRAZINAMIDE,0.9304213679255906,0.7762649865718904,0.66,[0.82363804],[0.93031359]
29,CNN,ETHAMBUTOL,0.9348689243680073,0.8016030360443275,0.67,[0.85748219],[0.92616034]
30,CNN,STREPTOMYCIN,0.9273854439368273,0.8838558849683587,0.67,[0.88203463],[0.85968379]
31,CNN,LEVOFLOXACIN,0.9571428571428571,0.9255446934018361,0.18,0.9714285714285714,0.8571428571428571
32,CNN,CAPREOMYCIN,0.900271718714783,0.7910416550741651,0.45,[0.93967093],[0.73287671]
33,CNN,AMIKACIN,0.9131456566611126,0.8694233846271795,0.34,[0.97445972],[0.75316456]
34,CNN,MOXIFLOXACIN,0.8586907082521117,0.6998441832537079,0.38,[0.94473684],[0.65432099]
35,CNN,OFLOXACIN,0.8910406533357353,0.8517908162477881,0.44,0.9578454332552693,0.7435897435897436
36,CNN,KANAMYCIN,0.9406055497925312,0.8970787772299423,0.44,[0.95435685],[0.8125]
37,CNN,ETHIONAMIDE,0.8240234375,0.7337444481047788,0.55,[0.8],[0.71428571]
38,CNN,CIPROFLOXACIN,0.9992892679459844,0.997835497835498,0.58,0.9850746268656716,1.0
39,CNN,RIFAMPICIN,0.9736074881080251,0.9549907818289951,0.59,[0.96130031],[0.94169096]
40,CNN,ISONIAZID,0.9679437518711824,0.9653144493725039,0.58,[0.96270598],[0.92170819]
41,CNN,PYRAZINAMIDE,0.9257427778023772,0.7963870912305919,0.31,[0.8934967],[0.84899329]
42,CNN,ETHAMBUTOL,0.9243435692033823,0.779088085358809,0.62,[0.81152648],[0.91705069]
43,CNN,STREPTOMYCIN,0.933516585294857,0.893634617538575,0.63,[0.86885246],[0.86629002]
44,CNN,LEVOFLOXACIN,0.9561128526645768,0.9490909090909091,0.55,1.0,0.9090909090909091
45,CNN,CAPREOMYCIN,0.8561749432002597,0.7197154966494552,0.39,[0.93851718],[0.66025641]
46,CNN,AMIKACIN,0.9092012580872768,0.85362405572631,0.41000000000000003,[0.95711501],[0.74233129]
47,CNN,MOXIFLOXACIN,0.8450399665950847,0.630364869680807,0.5,0.8792650918635171,0.6704545454545454
48,CNN,OFLOXACIN,0.9071336874462647,0.8471341873935176,0.42,[0.96519722],[0.76649746]
49,CNN,KANAMYCIN,0.9344968181991388,0.8994554928682957,0.5700000000000001,[0.90593047],[0.85714286]
50,CNN,ETHIONAMIDE,0.8338928001161271,0.6929227074633608,0.43,[0.80722892],[0.73493976]
51,CNN,CIPROFLOXACIN,0.9948051948051949,0.9872261072261073,0.72,0.974025974025974,0.96
52,CNN,RIFAMPICIN,0.9749294586257718,0.9516321211953408,0.71,[0.97590361],[0.93042292]
53,CNN,ISONIAZID,0.963787584431766,0.959369366222663,0.76,[0.95742754],[0.92081448]
54,CNN,PYRAZINAMIDE,0.9179066659065139,0.7836646419014451,0.56,[0.83493282],[0.89108911]
55,CNN,ETHAMBUTOL,0.9176301251331204,0.77951137930698,0.74,[0.82348243],[0.90208333]
56,CNN,STREPTOMYCIN,0.9199205030947598,0.8840311850554724,0.52,[0.86244019],[0.87219344]
57,CNN,LEVOFLOXACIN,0.947008547008547,0.813855588855589,0.41000000000000003,0.9111111111111111,0.9230769230769231
58,CNN,CAPREOMYCIN,0.8973335751859242,0.7504375904533866,0.5,[0.90771812],[0.74324324]
59,CNN,AMIKACIN,0.9109574000878348,0.8469056714699331,0.6,[0.89855072],[0.78181818]
60,CNN,MOXIFLOXACIN,0.9032253057676787,0.7272616563537944,0.49,0.9200968523002422,0.7051282051282052
61,CNN,OFLOXACIN,0.9081597697999451,0.8493132758139293,0.33,0.9573170731707317,0.7696629213483146
62,CNN,KANAMYCIN,0.9499774164408311,0.9217966918184934,0.47000000000000003,[0.97962963],[0.81097561]
63,CNN,ETHIONAMIDE,0.7993119266055047,0.6517347142155439,0.52,[0.73394495],[0.76829268]
64,CNN,CIPROFLOXACIN,0.9993894993894994,0.997835497835498,0.61,0.9871794871794872,1.0
